,time_step,sampling_period,loss_factor,Signal,th
0,25,1,95,0,0.02453092190312898
1,25,1,95,1,0.030730489163567763
2,25,1,95,2,0.030303602824974612
3,25,1,95,3,0.045350865563176725
4,25,1,95,4,0.047235946552534464
5,25,1,95,5,0.04354466498882765
6,25,1,95,6,0.03775008261520037
7,25,1,95,7,0.05103578713252277
8,25,1,95,8,0.04598232232092052
9,25,1,95,9,0.057947288674155314
10,25,1,95,10,0.047602667478081506
11,25,1,95,11,0.04477763676899667
12,25,1,95,12,0.04238042196579642
13,25,1,95,13,0.05534577466041679
14,25,1,95,14,0.05792129683137945
15,25,1,95,15,0.0913897924125194
16,25,1,95,16,0.11149229912294278
17,25,1,95,17,0.15439998060464857
18,25,1,95,18,0.15255060158669947
19,25,1,95,19,0.1412685141153633
