,time_step,sampling_period,loss_factor,time_factor,signal_factor,th
0,25,10,95.0,99.0,90.0,0.037500000000000006
1,25,10,95.0,99.0,91.0,0.037500000000000006
2,25,10,95.0,99.0,92.0,0.037500000000000006
3,25,10,95.0,99.0,93.0,0.0625
4,25,10,95.0,99.0,94.0,0.075
5,25,10,95.0,99.0,95.0,0.08750000000000001
6,25,10,95.0,99.0,96.0,0.1
7,25,10,95.0,99.0,97.0,0.1375
8,25,10,95.0,99.0,98.0,0.175
9,25,10,95.0,99.0,99.0,0.2375
10,25,10,95.0,99.0,99.5,0.28750000000000003
11,25,10,95.0,99.0,99.99,0.46896374999998897
