,time_step,sampling_period,loss_factor,time_factor,Signal,th
0,75,10,95.0,99,0,0.7233333333333333
1,75,10,95.0,99,1,0.6033333333333334
2,75,10,95.0,99,2,0.78
3,75,10,95.0,99,3,0.46603333333333163
4,75,10,95.0,99,4,0.6220666666666633
5,75,10,95.0,99,5,0.6033333333333333
6,75,10,95.0,99,6,0.5960333333333316
7,75,10,95.0,99,7,0.55
8,75,10,95.0,99,8,0.62
9,75,10,95.0,99,9,0.5133333333333333
10,75,10,95.0,99,10,0.5466666666666666
11,75,10,95.0,99,11,0.48
12,75,10,95.0,99,12,0.5966666666666667
13,75,10,95.0,99,13,0.20936666666666498
14,75,10,95.0,99,14,0.3
15,75,10,95.0,99,15,0.12
16,75,10,95.0,99,16,0.12333333333333334
17,75,10,95.0,99,17,0.13666666666666666
18,75,10,95.0,99,18,0.13666666666666666
19,75,10,95.0,99,19,0.13666666666666666
